periodo,net_revenue_in_proyectado
2023-10,22261.20299150054
2023-11,21758.716545148265
2023-12,21256.230098795986
2024-01,20753.74365244371
2024-02,20251.257206091435
2024-03,19748.77075973916
2024-04,19246.28431338688
2024-05,18743.797867034606
2024-06,18241.31142068233
2024-07,17738.824974330055
2024-08,17236.33852797778
2024-09,16733.852081625504
2024-10,16231.365635273225
2024-11,15728.87918892095
2024-12,15226.392742568674
2025-01,14723.906296216397
2025-02,14221.419849864122
2025-03,13718.933403511845
2025-04,13216.44695715957
2025-05,12713.960510807292
2025-06,12211.474064455017
2025-07,11708.98761810274
2025-08,11206.501171750464
2025-09,10704.014725398189
