Periodo,# Clicks,# Registros IN,# Primer depÃ³sito IN,Total depositado IN,# Personas que apostaron IN,Total apostado,Net revenue IN
2022-08-04,3.0,,,,,,
2022-08-08,1.0,,,,,,
2022-08-09,1.0,,,,,,
2022-11-03,,0.0,0.0,194.5249,1.0,194.5249,160.4830425
2022-11-04,,0.0,0.0,0.0,1.0,44.17412175,6.67520062
2022-11-05,,0.0,0.0,0.0,1.0,27.94059948,-38.2647512767777
2022-11-06,,0.0,0.0,0.0,1.0,66.0878811946329,66.0878811946329
2022-11-08,,0.0,0.0,97.72458,1.0,368.705058338217,78.179664
2022-11-09,,0.0,0.0,0.0,1.0,50.9031416,-66.3626207775815
2022-11-10,,0.0,0.0,0.0,1.0,83.70114048,31.9691856
2022-11-11,3.0,,,,,,
2022-11-11,,0.0,0.0,0.0,1.0,14.3870284174792,14.3870284174792
2022-11-12,,0.0,0.0,0.0,1.0,132.728663721789,24.1008022869619
2022-11-13,,0.0,0.0,0.0,1.0,75.78181395,14.03366925
2022-11-16,1.0,,,,,,
2022-11-20,,0.0,0.0,18.622702,1.0,18.622702,-4.84190252
2022-11-21,,0.0,0.0,0.0,1.0,50.2161148070151,-32.3930728115744
2022-11-22,,0.0,0.0,0.0,1.0,247.90164830106,36.5257691794598
2022-11-23,10655.0,423.0,143.0,1380.4593123,41.0,1566.3155437,-1443.88323331909
2022-11-23,,0.0,0.0,18.69781,1.0,37.2105106544902,-0.364607304348905
2022-11-24,18707.0,1324.0,659.0,14503.859019311,782.0,46617.388221605,-5748.41928455651
2022-11-24,,0.0,0.0,0.0,1.0,55.3889526611777,-24.97507097
2022-11-25,9705.0,112.0,64.0,2093.40688584,559.0,18538.0519884165,3308.86954675406
2022-11-25,,0.0,0.0,0.0,1.0,159.568145841528,63.1533095093807
2022-11-26,8711.0,53.0,54.0,4840.99487158273,502.0,17486.1085069919,-2026.83782556556
2022-11-27,7980.0,43.0,37.0,3343.945184415,493.0,25492.0394645793,716.959308189211
2022-11-28,8217.0,30.0,42.0,5848.12292633342,598.0,34299.0987261411,7.52758604051717
2022-11-29,6208.0,14.0,25.0,2913.77202938918,442.0,27821.0417073445,-1435.05823535748
2022-11-30,6647.0,17.0,28.0,3008.93302449947,465.0,29197.0932800748,965.427480316932
2022-12-01,6103.0,20.0,24.0,2007.4095393,422.0,27792.2575447057,4149.77536691953
2022-12-01,,0.0,0.0,19.00866,1.0,78.5057658,-4.9025997082188
2022-12-02,6758.0,41.0,33.0,6426.18315760562,510.0,33717.9693044827,1239.06546687585
2022-12-03,5270.0,18.0,22.0,4666.35710826282,381.0,19612.8792838981,1305.30792984712
2022-12-04,5870.0,4.0,9.0,6658.58057951023,384.0,24657.3065456737,-1259.01957260057
2022-12-04,,0.0,0.0,0.0,1.0,6.7145897,6.7145897
2022-12-05,6511.0,8.0,20.0,5158.71172816029,498.0,28727.5738699219,2048.51321707268
2022-12-06,4758.0,5.0,8.0,2345.09243876608,392.0,19781.2331984643,3772.2505073
2022-12-07,2789.0,3.0,10.0,1529.17819864704,166.0,16173.0222430192,616.097778140475
2022-12-08,2744.0,20.0,11.0,2231.21572648466,152.0,13032.9330162542,1262.52844288315
2022-12-08,,0.0,0.0,0.0,1.0,7.00427437686869,-4.55201188646408
2022-12-09,6339.0,37.0,28.0,5070.70192558531,501.0,26925.4070647144,9987.82913322921
2022-12-09,,0.0,0.0,0.0,1.0,11.5776681308993,11.5776681308993
2022-12-10,3843.0,31.0,13.0,3234.57450724328,315.0,11037.8717964574,-1060.20293802566
2022-12-11,2193.0,17.0,2.0,1049.7738469793,139.0,8254.00116996933,409.617429118004
2022-12-12,2187.0,3.0,4.0,1109.63931596,124.0,4591.75876020346,771.709925283538
2022-12-13,3268.0,5.0,9.0,2140.71343620835,290.0,13146.3176331935,1393.33718139223
2022-12-14,3234.0,5.0,6.0,2370.97997565541,321.0,10494.4162526336,1967.1445659189
2022-12-15,2031.0,4.0,2.0,1324.44190969484,145.0,8226.04468075855,24.4195684758894
2022-12-16,2083.0,1.0,1.0,2916.32865283923,134.0,18008.5181495753,472.613220215722
2022-12-17,3016.0,11.0,6.0,2217.81373118337,229.0,10791.2320507918,1255.82748632892
2022-12-18,5775.0,25.0,14.0,2723.55741989,360.0,11888.65885224,-80.2815209702775
2022-12-19,2406.0,13.0,4.0,1117.58498121595,148.0,7181.11772513982,432.178949032717
