periodo,net_revenue_in_proyectado
2023-10-31,9812.075255194059
2023-11-30,9792.679817631859
2023-12-31,9773.284380069657
2024-01-31,9753.888942507458
2024-02-29,9734.493504945258
2024-03-31,9715.098067383058
2024-04-30,9695.702629820858
2024-05-31,9676.307192258657
2024-06-30,9656.911754696457
2024-07-31,9637.516317134257
2024-08-31,9618.120879572058
2024-09-30,9598.725442009858
2024-10-31,9579.330004447658
2024-11-30,9559.934566885457
2024-12-31,9540.539129323257
2025-01-31,9521.143691761057
2025-02-28,9501.748254198857
2025-03-31,9482.352816636658
2025-04-30,9462.957379074456
2025-05-31,9443.561941512256
2025-06-30,9424.166503950057
2025-07-31,9404.771066387857
2025-08-31,9385.375628825657
2025-09-30,9365.980191263458
